sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;trial_type;true_sequence;obs_sequence;accuracy;RT;MT;score
3;2018-03-05;10:20:53.657000;type1;training;train;8;7;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1267.871;1313.621;0.761
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;9;7;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;3 4 - 1 - 1 2 - 1 3 - 2 3;0.8;1264.358;1720.849;0.581
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;10;7;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;3 4 - 1 - 1 2 - 2 3 - 2 3;0.6;754.853;2051.112;0.488
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;11;8;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;722.14;1521.406;0.657
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;12;9;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1107.328;1392.788;0.718
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;13;10;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;576.17;1444.028;0.693
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;14;11;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;1179.629;1428.071;0.7
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;1;1;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 - 2 3 - 3 4 - 1;0.2;2139.049;1624.983;0.615
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;2;2;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;896.522;1533.53;0.652
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;3;2;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1 2 3 3 4 - 3 4 - 1 2 3 - 1 3 4 - 1 4 4;0;-146.762;2588.142;0.386
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;4;3;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;782.846;1584.978;0.631
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;5;3;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 3 4 - 1 4;0.8;998.175;1527.506;0.655
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;6;3;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 3 - 3 4 - 4 - 1 4;0.6;1253.893;1927.339;0.519
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;7;4;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1093.474;1523.713;0.656
;;;;;;;;;;;;;;
3;2018-03-05;10:20:53.657000;type1;training;train;8;5;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1082.813;2345.461;0.426
;;;;;;;;;;;;;;
