sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;true_sequence;obs_sequence;accuracy;RT;MT;score
6;2018-03-02;08:48:22.947000;type1;testing;test;6;4;1 2 - 1 4 - 2 4 - 1 4 - 4;1 2 - 1 4 - 2 4 - 1 4 - 4;1.0;986.241;2586.155;0.387
6;2018-03-02;08:48:22.947000;type1;testing;test;7;5;1 2 - 1 4 - 2 4 - 1 4 - 4;1 2 - 1 4 - 2 4 - 1 4 - 4;1.0;813.234;1897.650;0.527
6;2018-03-02;08:48:22.947000;type1;testing;test;8;6;1 2 - 1 4 - 2 4 - 1 4 - 4;1 2 - 1 4 - 2 4 - 1 4 - 4;1.0;524.447;2179.768;0.459
6;2018-03-02;08:48:22.947000;type1;testing;test;1;1;1 2 - 1 4 - 3 4 - 3 - 2;1 - 2 - 1 4 - 1 - 3;0.0;1615.214;1684.506;0.594
6;2018-03-02;08:48:22.947000;type1;testing;test;2;1;1 2 - 1 4 - 3 4 - 3 - 2;1 2 - 1 - 4 - 2 - 4;0.20000000000000001;1484.685;1611.607;0.620
6;2018-03-02;08:48:22.947000;type1;testing;test;3;1;1 2 - 1 4 - 3 4 - 3 - 2;1 - 2 - 4 - 1;0.0;2266.159;902.782;1.108
6;2018-03-02;08:48:22.947000;type1;testing;test;4;1;1 2 - 1 4 - 3 4 - 3 - 2;1 2 - 1 4 - 4 - 3 - 3;0.59999999999999998;1730.632;2069.461;0.483
6;2018-03-02;08:48:22.947000;type1;testing;test;5;1;1 2 - 1 4 - 3 4 - 3 - 2;1 2 - 1 - 4 - 3 4 - 3;0.20000000000000001;1404.652;2449.919;0.408
6;2018-03-02;08:48:22.947000;type1;testing;test;6;2;1 2 - 1 4 - 3 4 - 3 - 2;1 2 - 1 4 - 3 4 - 3 - 2;1.0;1272.044;2199.391;0.455
6;2018-03-02;08:48:22.947000;type1;testing;test;7;2;1 2 - 1 4 - 3 4 - 3 - 2;1 2 - 1 - 4 - 3 4 - 3;0.20000000000000001;1572.298;2166.523;0.462
6;2018-03-02;08:48:22.947000;type1;testing;test;8;3;1 2 - 1 4 - 3 4 - 3 - 2;1 2 - 1 4 - 3 4 - 3 - 2;1.0;844.264;2225.244;0.449
